,date,股票代码,open,close,high,low,volume,成交额,振幅,涨跌幅,涨跌额,换手率,tic,ema12,ema26,macd,rsi_30,boll_ub,boll_lb
0,2024-02-20,601138,17.32,17.91,18.41,17.03,3053232,5554868237.0,8.27,7.31,1.22,1.54,sh601138,14.996804162022139,14.273911749008905,0.7228924130132341,82.70683522300595,17.253266559725873,11.669179771077747
1,2024-02-21,601138,17.15,16.97,17.28,16.67,2485909,4361411875.0,3.41,-5.25,-0.94,1.25,sh601138,15.300372752480271,14.47362198982306,0.8267507626572108,68.99076469304758,17.661144702913955,11.739163882098847
2,2024-02-22,601138,17.67,17.61,17.99,16.73,2593071,4644717973.0,7.42,3.77,0.64,1.31,sh601138,15.65570002132946,14.705946286873203,0.949753734456257,72.56507396408531,18.109145193260964,11.845419716988715
3,2024-02-23,601138,18.24,17.59,18.37,17.48,2237459,4126150026.0,5.05,-0.11,-0.02,1.13,sh601138,15.95328463343262,14.919579895252967,1.0337047381796527,72.26472554037974,18.56250911468278,11.889716280305025
4,2024-02-26,601138,17.02,17.09,17.43,16.93,1767651,3139609159.0,2.84,-2.84,-0.5,0.89,sh601138,16.128163920596833,15.080351754863859,1.0478121657329744,64.55695673690886,18.848026111312677,11.959225436533435
5,2024-02-27,601138,17.01,18.75,18.86,16.81,2863760,5308530292.0,12.0,9.71,1.66,1.44,sh601138,16.53152331742809,15.352177550799869,1.17934576662822,74.83793754205536,19.51692312925287,11.927733033084087
6,2024-02-28,601138,18.47,17.62,18.71,17.62,2194145,4136701239.0,5.81,-6.03,-1.13,1.11,sh601138,16.698981268593,15.520164398888767,1.1788168697042316,60.951100035208256,19.797041142141016,12.00907633806861
7,2024-02-29,601138,17.58,18.11,18.48,17.5,1824980,3398084193.0,5.56,2.78,0.49,0.92,sh601138,16.916061073424842,15.712004073045154,1.204057000379688,64.26850348938666,20.12730456612552,12.099182677873667
8,2024-03-01,601138,18.47,19.44,19.88,18.47,2481166,4892950969.0,7.79,7.34,1.33,1.25,sh601138,17.30435936982102,15.988151919486253,1.316207450334769,71.77758925166577,20.75949845511621,12.100656670406863
9,2024-03-04,601138,20.22,21.44,21.44,19.86,2681951,5710595359.0,8.13,10.29,2.0,1.35,sh601138,17.940611774463942,16.391992518042827,1.5486192564211159,79.31875898754137,21.798295789002786,12.016130276946663
10,2024-03-05,601138,21.12,22.17,23.6,20.95,3097571,7050812139.0,12.36,3.4,0.73,1.56,sh601138,18.591286886084873,16.819993072261877,1.7712938138229966,81.41069558719164,22.73438358338222,12.082478095333947
11,2024-03-06,601138,21.49,21.43,21.97,21.12,2302577,5085112589.0,3.83,-3.34,-0.74,1.16,sh601138,19.028011980533353,17.161475066909144,1.8665369136242091,72.7978397008662,23.215799139688627,12.36707571248314
12,2024-03-07,601138,21.89,22.03,22.63,21.28,2702907,6085421452.0,6.3,2.8,0.6,1.36,sh601138,19.48985629122053,17.522106543434393,1.9677497477861365,75.24773794662711,23.639287531007735,12.750932573338151
13,2024-03-08,601138,22.52,24.29,24.29,22.08,2857208,6824257680.0,10.03,10.26,2.26,1.44,sh601138,20.228339938725064,18.023431984661475,2.2049079540635894,82.2108679729716,24.722690409079703,12.828461113899907
14,2024-03-11,601138,23.1,25.24,26.17,22.82,3359710,8195001191.0,13.79,3.91,0.95,1.69,sh601138,20.999364563536595,18.55799257839025,2.4413719851463433,84.3466632075705,25.713841604047953,13.068628821505026
15,2024-03-12,601138,24.68,24.22,24.9,23.49,3125177,7726114946.0,5.59,-4.04,-1.02,1.58,sh601138,21.49484693837712,18.97740053554653,2.51744640283059,73.42533924756668,26.268611673681068,13.433623473247817
16,2024-03-13,601138,24.96,23.77,26.4,23.51,4920400,12619421139.0,11.93,-1.86,-0.45,2.48,sh601138,21.844870486319103,19.332407903283823,2.51246258303528,68.88496085583466,26.633152472722635,13.815536469736832
17,2024-03-14,601138,22.19,22.27,22.69,21.41,5506132,12448108454.0,5.38,-6.31,-1.5,2.78,sh601138,21.910275026885394,19.550007317855393,2.3602677090300013,55.649624649284235,26.49590130879897,14.342436305807219
18,2024-03-15,601138,21.91,22.5,22.7,21.88,3583236,8214079652.0,3.68,1.03,0.23,1.81,sh601138,22.001001945826104,19.76852529431055,2.2324766515155545,57.107681857177376,26.335112738606217,14.899573674608906
19,2024-03-18,601138,22.87,24.43,24.72,22.78,4248136,10433641458.0,8.62,8.58,1.93,2.14,sh601138,22.37469395416055,20.11381971695421,2.2608742372063375,67.46424275485754,26.70092961816269,15.259977136650994
20,2024-03-19,601138,23.82,24.93,25.53,23.55,3791375,9516654769.0,8.1,2.05,0.5,1.91,sh601138,22.76781796121277,20.47057381199464,2.2972441492181304,69.65448033277515,27.204952669387207,15.508248680206126
21,2024-03-20,601138,24.72,24.5,25.25,23.99,2989026,7531928513.0,5.05,-1.72,-0.43,1.51,sh601138,23.034307505641575,20.769049825920963,2.2652576797206123,65.2929117929676,27.353776879564393,15.958167198639094
22,2024-03-21,601138,24.5,24.41,25.22,24.16,2697026,6810420622.0,4.33,-0.37,-0.09,1.36,sh601138,23.24595250477364,21.038749838815708,2.207202665957933,64.32024675068223,27.455127381453416,16.381393451206883
