time/iterations,time/fps,train/learning_rate,train/std,time/total_timesteps,train/entropy_loss,train/reward,train/n_updates,train/value_loss,time/time_elapsed,train/explained_variance,train/policy_loss
100,490,0.0007,1.0548319816589355,500,-1.4719361066818237,0.0,99,8.444682316621765e-05,1,0.0,-0.010747636668384075
200,481,0.0007,1.0918917655944824,1000,-1.506121277809143,0.0004530633,199,0.011598551645874977,2,-1.1920928955078125e-07,0.17420604825019836
300,470,0.0007,1.107175588607788,1500,-1.5205405950546265,-0.00016830515,299,0.05699983984231949,3,0.0,0.30917519330978394
400,447,0.0007,1.1262123584747314,2000,-1.5385849475860596,-0.0030987354,399,0.07705569267272949,4,-2.384185791015625e-07,0.289917528629303
500,446,0.0007,1.1330058574676514,2500,-1.543027400970459,-0.0007460085,499,1.6625831127166748,5,2.384185791015625e-07,2.4837231636047363
600,451,0.0007,1.1628261804580688,3000,-1.569917917251587,-0.0020915694,599,8.208211898803711,6,0.0,3.6345858573913574
700,451,0.0007,1.18454110622406,3500,-1.5884087085723877,-4.9536717e-05,699,5.8466596603393555,7,0.0,2.7911536693573
800,452,0.0007,1.192474126815796,4000,-1.5945038795471191,0.0058464347,799,1.2172746658325195,8,0.0,1.356661081314087
900,454,0.0007,1.2071878910064697,4500,-1.607913613319397,-3.378802e-05,899,0.4511301517486572,9,-1.1920928955078125e-07,0.3617889881134033
1000,453,0.0007,1.219492793083191,5000,-1.6172882318496704,-0.00043384885,999,6.638561899308115e-05,11,0.0,0.010086828842759132
1100,455,0.0007,1.2401021718978882,5500,-1.6338622570037842,0.0004693989,1099,2.267064519401174e-05,12,0.0,-0.0053400262258946896
1200,456,0.0007,1.2698173522949219,6000,-1.6575472354888916,0.0,1199,1.9356853044882882e-06,13,0.0,-0.002536557149142027
1300,453,0.0007,1.3052468299865723,6500,-1.6849502325057983,-0.0016612804,1299,4.951066330249887e-06,14,0.0,0.0011837230995297432
1400,453,0.0007,1.328102469444275,7000,-1.702481985092163,-0.0026144683,1399,1.059780151990708e-05,15,0.0,-0.005692367907613516
1500,453,0.0007,1.3735337257385254,7500,-1.7360280752182007,0.011881055,1499,2.0436384147615172e-05,16,5.960464477539063e-08,0.00478722620755434
1600,456,0.0007,1.4161101579666138,8000,-1.766632080078125,-0.0003603186,1599,5.544690793612972e-06,17,1.1920928955078125e-07,0.0011782426154240966
1700,458,0.0007,1.4596834182739258,8500,-1.796979546546936,-0.0018931126,1699,8.561011054553092e-05,18,0.0,0.014411198906600475
1800,460,0.0007,1.4824953079223633,9000,-1.8124319314956665,-0.0015460546,1799,6.409212073776871e-05,19,0.0,0.007333281449973583
1900,457,0.0007,1.5010781288146973,9500,-1.824994683265686,-0.010482876,1899,0.00019851067918352783,20,1.1920928955078125e-07,-0.0026348489336669445
2000,454,0.0007,1.5082178115844727,10000,-1.8296468257904053,-0.0016608491,1999,0.0005086537566967309,22,0.0,0.038330722600221634
2100,450,0.0007,1.532470703125,10500,-1.8455787897109985,0.0038713024,2099,0.000401422061258927,23,0.0,0.035874731838703156
2200,451,0.0007,1.5369954109191895,11000,-1.848313331604004,0.009244358,2199,0.00034738509566523135,24,0.0,0.04735894501209259
2300,452,0.0007,1.55304753780365,11500,-1.8590009212493896,0.0010836337,2299,6.633953262280556e-07,25,1.7881393432617188e-07,-6.682555977022275e-05
2400,454,0.0007,1.5903689861297607,12000,-1.8826992511749268,0.044867646,2399,1.549943772261031e-05,26,-1.1920928955078125e-07,0.004046552814543247
2500,452,0.0007,1.6386369466781616,12500,-1.9128751754760742,-0.012292434,2499,0.00020073275663889945,27,1.1920928955078125e-07,-0.03126261755824089
2600,447,0.0007,1.6625372171401978,13000,-1.9271190166473389,-0.016855242,2599,2.97756396321347e-05,29,0.0,0.01108351070433855
2700,443,0.0007,1.6725294589996338,13500,-1.932742714881897,0.0058815596,2699,0.0018371848855167627,30,0.0,0.09789618849754333
2800,440,0.0007,1.6949687004089355,14000,-1.9461557865142822,0.049757145,2799,0.0027752569876611233,31,1.1920928955078125e-07,0.11754518747329712
2900,440,0.0007,1.6977570056915283,14500,-1.9486892223358154,-0.030008838,2899,0.018138429149985313,32,0.0,0.21736423671245575
3000,441,0.0007,1.7221016883850098,15000,-1.960822343826294,0.042836122,2999,0.014861884526908398,33,-1.1920928955078125e-07,0.28538671135902405
